000006|2021-01-20 19:02:40.280954|25|mjesic|2021-01-21|4|2021-01-25|z|000001|3|2021-02-01
000006|2021-01-20 22:03:37.103729|108|mgladic|2021-01-21|11|2021-02-01|z|000002||
000004|2021-01-20 22:10:34.256609|25|zsavovic|2021-02-11|4|2021-02-15|n|000003||
000002|2021-01-20 22:22:41.632752|23|mgladic|2021-02-12|4|2021-02-16|n|000004||
000008|2021-01-21 21:59:26.097951|239|dtusic|2021-01-21|5|2021-01-26|n|000005||
000006|2021-01-26 19:48:14.557089|25|dtusic|2021-12-23|2|2021-12-25|n|000006|4|2021-02-01
000002|2021-01-26 20:36:44.793247|23|dtusic|2021-02-10|2|2021-02-12|n|000007|4|2021-02-04
000002|2021-01-26 20:39:42.025107|23|dtusic|2021-02-16|7|2021-02-23|n|000008|4|2021-02-04
000008|2021-02-03 09:59:00.704748|239|dtusic|2021-02-03|6|2021-02-09|n|000010||
000006|2021-02-03 21:17:47.530437|108|dtusic|2021-02-03|4|2021-02-07|z|000011|5|2021-02-04
000008|2021-02-07 21:00:34.538198|239|tanja123|2021-03-01|7|2021-03-08|n|000012|4.7|2021-02-07
000008|2021-02-19 22:55:55.501681|239|tanja123|2021-08-01|7|2021-08-08|n|000013||
